FIELD_NAME,DESCRIPTION,DATA_TYPE,FIELD_SIZE,MASKED_FIELD,AGE_FIELD,SERVICE_FIELD,COMPENSATION_FIELD,CASH_BALANCE_FIELD,SS_PIA_FIELD,DISABILITY_FIELD,RESIDUAL_FIELD,MIL_FIELD,BENEFIT_FIELD,SUPPLEMENT_FIELD,FSSB_FIELD,OFFSET_FIELD,QPSA_FIELD,QDRO_FIELD,LUMP_SUM_DEATH_BENEFIT_FIELD,FORM_FIELD,LUMP_SUM_FIELD,ASSET_ALLOCATION_FIELD,LOAD_FIELD,LIABILITY_FIELD,GUARANTEED_BENEFIT_FIELD,PC1_FIELD,PC2_FIELD,PC3_FIELD,PC4_FIELD,PC5_FIELD,PC6_FIELD,EXCESS_ASSET_FIELD,DOPT_FIELD,XRD_FIELD,BPD_FIELD,NRD_FIELD,EURD_FIELD,ERD_FIELD,DOR_FIELD,RBD_FIELD,RETRO_FIELD,GENESIS_DATA,DATA_VALIDATION_FIELD,VALUATION_LOAD_FIELD,IPVFB_FIELD,CCS_FIELD,BSRS/BET_FIELD,BULK_RECALC_FIELD,OFA_FIELD,PLAN_ADMNISTRATOR_FIELD,SYSTEM_GENERATED_FIELD,BCV_LEO_FIELD,INPUT_FIELD,CALCULATED_FIELD,USER_DEFINED_FIELD,ATPBGC ADDIN FUNCTION
BCV_REC_ID,"Unique system generated BCV record id (each record has participant information and can also have spouse, beneficiary, and alternate payee information)",NUMBER,INTEGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
CASE,Case Identification Number (include leading zeros),TEXT,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
RETSTAT,"Participant Status at DOPT (1=Retired, 2=Separated Vested, 3=Active Vested, 4=Nonvested (Active or Separated but not in pay), 5=Not Part of Valuation Population and Not to be Loaded to Genesis)
Notes: If participant is active and solely vested in EEC, he/she is to be considered active vested (3).
           If participant is considered to be non-vested per plan provisions and has no EEC but receives a benefit through an asset allocation in PC6, he/she is to be considered non-vested (4).
           If participant is vested at DOPT but not at BPD, he/she is considered vested (2 or 3).
           The RETSTAT for an AP record is the same as the RETSTAT for the PP record if both PP and AP are deferred at DOPT.
           For AP records included for the BSRS population but not part of the valuation population, set RETSTAT to '1', '2', '3', or '4' so that the data for the AP record can be loaded to Genesis.
           The field C9.AP_VAL_IND must be set to 'Y' or 'N' for all AP records.  Data Validation will not include AP records with AP_VAL_IND set to 'N' in the total record count reported in the summary report.
           A RETSTAT value of 5 is used for records that are not part of the valuation population and not to be laoded to Genesis.",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ID,"Type of Record (1=Participant, 2=Beneficiary, 4=Alternate Payee (AP) from QDRO)
If participant dies on DOPT and DOPT is not on the 1st of the month, the record is a beneficiary record (ID = '2')
If participant dies on DOPT and DOPT is on the 1st of the month, the record is a participant record (ID = '1')",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
SSN,"Participant's SSN (If Unknown and ID=1, use official dummy SSN. If Unknown and ID=2 or 4, use 000000000) ",TEXT,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
SSSN,Spouse's SSN (If Unknown and ID=2 and NON_SPOUSE_BENF <> 'Y' use official dummy SSN otherwise use 000000000) ,TEXT,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
FNAME,Participant's First Name (do NOT include period for initial) ,TEXT,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MNAME,Participant's Middle Name (do NOT include period for initial) ,TEXT,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LNAME,Participant's Last Name,TEXT,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
ENAME,"Participant's Extra Name (JR, SR, I, II, III, etc - do NOT include periods) ",TEXT,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SFNAME,Spouse's First Name (do NOT include period for initial) ,TEXT,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
SMNAME,Spouse's Middle Name (do NOT include period for initial) ,TEXT,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SLNAME,Spouse's Last Name,TEXT,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
SENAME,"Spouse's Extra Name (JR, SR, I, II, III, etc - do NOT include periods) ",TEXT,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RELATION,"In Pre-ACT 6.1 Databases, the spouse fields above were used to hold non-spouse beneficiary data and this field was used to identify the relation of the beneficiary to the participant.
In ACT 6.1 databases, this field can be used by actuaries to identify spouse data to be used only for generating BD statement or recalculation and not to be used for valuation.",TEXT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PSEX,"Participant's Gender (M=Male, F=Female, U=Unknown)",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SSEX,"Spouse's Gender (M=Male, F=Female, U=Unknown)",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PHS,"Participant's Health Status Code (0=Healthy, 1=Disabled w/o Social Security, 2=Disabled w/ Social Security) ",TEXT,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SHS,"Spouse's Health Status Code (0=Healthy, 1=Disabled w/o Social Security, 2=Disabled w/ Social Security - note we assume that the contigent annuitant is healthy) ",TEXT,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SOWN,"Substantial Owner Indicator (Y=Yes, N=No) (Use this for Majority Owners in accordance with PPA for plans with Termination Initiation Dates on or after 1/1/2006.) ",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SOMOS,Number of Months that the Participant was a Substantial Owner (NOT applicable for Majority Owners in accordance with PPA) ,NUMBER,INTEGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MSTAT,"Participant's Marital Status (M=Married, S=Single, D=Divorced, W=Widowed, U=Unknown) ",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
DOM,Date of Marriage (may be needed for QPSA coverage charge),DATE/TIME,SHORT DATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRSAC,"Pre-Retirement Survivor Annuity Waiver (Y=Waived, N=Not Waived, U=Unknown - may be needed for QPSA coverage charge) ",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJSWC,"Spouse J&S Waiver Code (Y=Waived, N=Not Waived, U=Unknown) ",TEXT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOB,Participant's Date of Birth,DATE/TIME,SHORT DATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
SDOB,Spouse's Date of Birth,DATE/TIME,SHORT DATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
